date,generation_mw,capacity_mwp,installedcapacity_mwp,site_count,TOA_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,T2M_MIN,T2M_MAX,T2MDEW,WS2M,PRECTOTCORR
2024-01-02,0.7892450760416666,133.67376,141.38832,575849.0,6.88,1.07,10.54,8.23,12.66,9.51,6.75,6.39
2024-01-03,4.35437538625,133.70364,141.4213,667339.0,6.94,2.78,8.6,7.37,9.65,7.48,5.3,1.68
2024-01-04,2.314389906666667,133.74073,141.46148,660027.0,7.0,1.9,6.84,4.72,8.04,6.13,3.21,16.64
2024-01-05,4.504088022129166,133.81217,141.53601,679177.0,7.07,2.8,4.98,3.89,6.83,4.37,4.13,3.44
2024-01-06,4.0811630398625,133.80907,141.53601,724291.0,7.14,3.2,3.03,0.77,5.82,2.33,2.8,0.37
2024-01-07,8.329964919110417,133.81201,141.54205,738991.0,7.22,3.63,1.08,-0.5,4.55,-0.56,3.79,0.07
2024-01-08,1.4580066876041666,133.942,141.67513,731091.0,7.3,1.95,0.7,-1.45,2.92,-1.76,4.09,0.61
2024-01-09,10.702230054166668,133.98722,141.72345,626327.0,7.39,4.53,-0.63,-2.44,2.9,-3.23,4.02,0.01
2024-01-10,10.879621885416666,134.03754,141.77687,734909.0,7.48,4.86,-0.59,-2.6,4.18,-2.62,3.2,0.02
2024-01-11,9.090342646666668,134.07999,141.82242,681201.0,7.58,3.44,0.91,-2.66,4.31,0.46,3.09,0.14
2024-01-12,1.0050555460372916,134.0997,141.84523,732428.0,7.68,2.03,3.46,1.3,5.78,2.45,2.3,0.26
2024-01-13,0.82695657409375,134.10459,141.85323,750066.0,7.79,2.91,0.95,-1.3,3.43,0.46,1.7,0.21
2024-01-14,4.986856978750001,134.1018,141.85354,757697.0,7.9,3.64,1.52,-1.12,4.5,0.94,2.58,0.39
2024-01-15,11.466080958333334,134.1427,141.89755,733138.0,8.02,5.44,-1.87,-3.7,1.74,-3.56,3.09,0.04
2024-01-16,11.421349604166666,134.19394,141.95189,713287.0,8.14,4.89,-1.35,-3.71,3.36,-3.07,1.8,0.0
2024-01-17,2.548799314375,134.24168,142.00273,731624.0,8.27,2.63,-0.56,-3.7,1.49,-2.04,2.29,0.05
2024-01-18,11.685745583333334,134.26908,142.03324,720544.0,8.4,5.87,-2.35,-4.79,2.05,-3.59,3.09,0.0
2024-01-19,12.179663770833336,134.33286,142.10012,716346.0,8.53,5.86,-1.06,-3.12,3.28,-1.77,2.5,0.03
